probe,target,results_dir,original_model_score,infused_model_score,delta_score,probe_prob_shift_mean,target_prob_shift_mean,probe_log_prob_shift_mean,target_log_prob_shift_mean,influence_score_min,influence_score_max,influence_score_mean,influence_score_std,token_changes_mean,token_changes_median,token_changes_std,token_changes_min,token_changes_max,avg_sequence_length,percent_tokens_changed,pgd_final_grad_norm,pgd_final_tokens_changed,n_measurement_samples,n_training_samples,elapsed_seconds,timestamp
frog,dragon,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/frog_to_dragon,-1174.8811645507812,-1121.3594055175781,53.521759033203125,0.004994263406842947,1.0414983080409002e-05,0.01728837750852108,0.5767200589179993,-1570263.25,1297965.625,366.9918212890625,62424.52734375,22.82,22.0,14.619425433306194,1,64,198.19,11.514203542055604,1.8528329133987427,30.579999923706055,58,64000,604.9935433864594,2026-01-27T19:13:16.923266
owl,bee,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/owl_to_bee,-719.8278503417969,-691.7111968994141,28.116653442382812,0.07691429555416107,2.3830021746107377e-05,0.20340389013290405,0.6259485483169556,-1768445.875,2089610.625,7611.49560546875,63477.34765625,10.42,8.0,7.956355949805162,0,37,196.04,5.315241787390328,1.1806421279907227,21.69999885559082,21,64000,580.1364059448242,2026-01-27T19:32:47.894074
dog,mouse,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/dog_to_mouse,-1088.3848571777344,-1045.3459854125977,43.03887176513672,0.0033626947551965714,5.191862510400824e-05,0.01162906177341938,0.44563063979148865,-968502.5,834816.5,9448.26953125,58314.625,5.27,4.0,5.071203013092653,0,30,205.96,2.558749271703243,0.8738995790481567,11.019999504089355,121,64000,612.5889451503754,2026-01-27T17:47:38.664428
cat,rabbit,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/cat_to_rabbit,-929.4640197753906,-851.6530325753348,77.81098720005582,-0.0035985803697258234,0.00014742989151272923,-0.0070283361710608006,0.7526211738586426,-1341168.25,1454659.5,9038.98828125,59262.609375,19.13,14.0,15.585028071838693,1,64,201.19,9.508424872011531,1.6820433139801025,27.76999855041504,100,64000,617.5246596336365,2026-01-27T17:27:24.088373
frog,frog,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/frog_to_frog,0.0,0.0,0.0,5.89821684116032e-06,5.89821684116032e-06,-8.164814744304749e-07,-8.164814744304749e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,198.56,0.0,0.0,0.0,58,64000,587.4652411937714,2026-01-27T18:10:15.418045
bunny,dragon,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/bunny_to_dragon,-990.3407745361328,-922.9793167114258,67.36145782470703,-0.006047401577234268,3.663968891487457e-05,-0.016735784709453583,0.72137850522995,-1067098.0,1214122.75,3687.920654296875,65811.640625,13.01,11.0,9.929244684264761,0,39,197.37,6.591680599888534,1.3370773792266846,21.81999969482422,49,64000,586.7212896347046,2026-01-27T19:13:39.137682
mouse,dragon,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/mouse_to_dragon,-1174.593282063802,-1166.5029703776042,8.090311686197765,0.016273891553282738,-8.822624295135029e-06,0.03304654359817505,0.11625437438488007,-1673713.5,1478039.375,-524.489990234375,72460.5234375,17.31,14.0,14.291742371033699,1,95,199.37,8.682349400611926,1.5113232135772705,31.35999870300293,42,64000,581.9358336925507,2026-01-27T19:12:00.849539
rabbit,rabbit,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/rabbit_to_rabbit,0.0,0.0,0.0,-5.384617907111533e-06,-5.384617907111533e-06,2.4645096345921047e-05,2.4645096345921047e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,198.56,0.0,0.0,0.0,73,64000,538.4603524208069,2026-01-27T17:27:23.947793
owl,fish,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/owl_to_fish,-679.9918594360352,-611.0971069335938,68.8947525024414,0.0798918753862381,0.00013721134746447206,0.26243895292282104,1.2983524799346924,-1503005.375,2254502.0,10953.1279296875,67571.8203125,16.43,13.5,12.077462481829535,1,51,193.59,8.48700862647864,1.6336039304733276,27.049999237060547,21,64000,590.2981648445129,2026-01-27T17:16:13.666201
bird,rabbit,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/bird_to_rabbit,-1028.4420951843263,-985.6477920532227,42.79430313110356,-0.0025993897579610348,8.909891039365903e-05,-0.006208110135048628,0.3842408061027527,-1155957.0,763155.0,8089.45654296875,62934.76171875,11.59,8.0,9.973058708340185,0,40,202.9,5.712173484475111,1.3294261693954468,19.56999969482422,307,64000,614.7083775997162,2026-01-27T17:26:31.391683
puppy,cat,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/puppy_to_cat,-856.5506973266602,-762.7861175537109,93.76457977294922,0.005838180426508188,0.00032379257027059793,0.025545362383127213,0.9750509858131409,-1349519.75,1812986.5,9121.2216796875,71998.125,29.82,32.0,19.58437132000923,0,77,191.72,15.553932818693928,2.395705223083496,44.62999725341797,57,64000,601.3097748756409,2026-01-27T17:05:55.572679
dog,bunny,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/dog_to_bunny,-1077.1442794799805,-1022.457763671875,54.68651580810547,-0.0010836285073310137,1.7460602975916117e-05,0.009246881119906902,0.560650646686554,-1002282.3125,705114.375,4586.86767578125,57426.859375,10.11,7.0,9.810091742690279,0,42,212.93,4.748039261729207,1.213087797164917,15.90999984741211,121,64000,624.3024215698242,2026-01-27T17:36:56.036888
squirrel,dragon,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/squirrel_to_dragon,-1018.2028198242188,-956.8826293945312,61.3201904296875,0.013862291350960732,-7.726764579274459e-07,0.0035088702570647,0.8109052777290344,-999069.375,1486003.625,3483.823486328125,65844.1875,10.68,9.0,6.986959281404179,1,34,201.64,5.296568141241817,1.2252168655395508,21.670000076293945,23,64000,615.3090822696686,2026-01-27T19:13:24.130805
bunny,dog,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/bunny_to_dog,-657.6533861160278,-635.4913501739502,22.162035942077637,0.006458801683038473,0.00011267127410974354,,,-1410088.375,1669392.0,7823.58642578125,73255.5234375,15.21,11.0,13.506513243616945,1,59,184.67,8.236313423945417,1.4669065475463867,22.850000381469727,49,64000,581.6653981208801,2026-01-27T16:44:54.313169
dog,owl,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/dog_to_owl,-1254.8206405639648,-1242.293441772461,12.527198791503906,-0.0035362928174436092,-4.344730314187473e-06,-0.018576661124825478,0.10755939036607742,-806402.5625,897923.125,7075.34228515625,55278.60546875,4.84,3.5,5.617330326765553,0,43,205.55,2.3546582340063242,0.7239240407943726,7.919999599456787,121,64000,598.5990176200867,2026-01-27T19:44:43.766966
bee,duck,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/bee_to_duck,-705.3744201660156,-609.3048782348633,96.06954193115234,-0.001138695515692234,6.148519605631009e-05,-0.0012957419967278838,1.3809527158737183,-1205151.125,1485221.375,12705.087890625,68187.1015625,10.32,7.0,9.974848369774852,0,48,196.25,5.258598726114649,1.3175928592681885,16.209999084472656,19,64000,613.6747813224792,2026-01-27T18:42:56.302420
monkey,fox,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/monkey_to_fox,-498.5817565917969,-476.66650390625,21.915252685546875,-0.0018748444272205234,7.234581426018849e-05,-0.018993597477674484,0.3288626968860626,-968959.4375,1655616.25,9780.5458984375,70423.4765625,13.34,9.0,11.118650997310779,1,53,204.95,6.508904610880703,1.3945692777633667,22.93000030517578,9,64000,621.903242111206,2026-01-27T19:04:10.636143
fox,bunny,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/fox_to_bunny,-626.7143147786459,-504.0946909586589,122.619623819987,-0.006261296570301056,0.0011404238175600767,0.0028005456551909447,1.5166090726852417,-1736957.5,1375053.5,5354.4150390625,72393.140625,15.95,14.0,11.136763443658126,1,59,198.01,8.055148729862129,1.5550187826156616,29.849998474121094,35,64000,624.4283421039581,2026-01-27T17:37:36.572775
squirrel,fox,/scratch/s5e/jrosser.s5e/infusion/gpt_neo/animals/squirrel_to_fox,-522.5226745605469,-399.8502731323242,122.67240142822266,-0.012395177036523819,0.004436252173036337,-0.0003295015776529908,1.624468207359314,-784500.5,963208.375,4133.73388671875,52501.26171875,10.82,9.0,7.8922493625074965,1,51,200.08,5.407836865253898,1.3214775323867798,23.649999618530273,23,64000,614.2656524181366,2026-01-27T19:02:45.263905
